X,Y,OBJECTID,org_name,Name,addrln1,city,state,post_id,zip,latitude,longitude,POINT_X,POINT_Y
-118.2720749,33.91622868,63131,LA County,LA County Library - A C Bilbrew Library,150 E El  Segundo Blvd,Los Angeles,CA,70540,90061,33.91622871,-118.2720748,6479121.69,1792005.891
-118.7753315,34.143205,12484,LA County,LA County Library - Agoura Hills Library,29901 Ladyface Ct,Agoura Hills,CA,13303,91301,34.14320503,-118.7753314,6327070.691,1875400.2
-118.0784555,33.88795582,62972,LA County,LA County Library - Alondra Library,11949 Alondra Blvd,Norwalk,CA,70485,90650,33.88795585,-118.0784555,6537858.557,1781614.314
-118.1333358,33.84871637,62975,LA County,LA County Library - Angelo M. Iacoboni Library,4990 Clark Ave,Lakewood,CA,70486,90712,33.8487164,-118.1333357,6521183.09,1767351.676
-118.1395218,34.69813093,62979,LA County,LA County Library - Antelope Valley Bookmobile,601 W Lancaster Blvd,Lancaster,CA,70487,93534,34.69813096,-118.1395217,6519733.775,2076474.233
-118.1802074,34.04071417,62981,LA County,LA County Library - Anthony Quinn Library,3965 E Cesar Chavez Ave,Los Angeles,CA,70488,90063,34.0407142,-118.1802073,6507075.856,1837246.009
-118.0790853,33.860596,62984,LA County,LA County Library - Artesia Library,18722 Clarkdale Ave,Artesia,CA,70489,90701,33.86059603,-118.0790853,6537659.575,1771657.564
-118.3273142,33.34307408,62988,LA County,LA County Library - Avalon Library,215 Sumner Ave,Avalon,CA,70490,90704,33.34307411,-118.3273141,6461682.677,1583464.13
-117.9654237,34.08806175,62992,LA County,LA County Library - Baldwin Park Library,4181 Baldwin Park Blvd,Baldwin Park,CA,70491,91706,34.08806178,-117.9654236,6572139.455,1854429.57
-118.1505547,33.96713807,62994,LA County,LA County Library - Bell Gardens Library,7110 Garfield Ave,Bell Gardens,CA,70492,90201,33.9671381,-118.1505546,6516019.141,1810455.412
-118.1887636,33.97826212,62996,LA County,LA County Library - Bell Library,4411 Gage Ave,Bell,CA,70493,90201,33.97826215,-118.1887635,6504441.047,1814523.237
-118.2763536,33.83203914,62999,LA County,LA County Library - Carson Library,151 E Carson St,Carson,CA,70494,90745,33.83203917,-118.2763535,6477739.284,1761370.925
-118.6263332,34.49458755,63003,LA County,LA County Library - Castaic Library,27971 Sloan Canyon Rd,Castaic,CA,70495,91384,34.49458758,-118.6263331,6372950.71,2002958.265
-117.8536067,34.10635069,63005,LA County,LA County Library - Charter Oak Library,20540 E Arrow Hwy,Covina,CA,70496,91724,34.10635072,-117.8536066,6605985.973,1861115.731
-118.1201478,33.99359738,63007,LA County,LA County Library - Chet Holifield Library,1060 Greenwood Ave,Montebello,CA,70497,90640,33.99359741,-118.1201477,6525250.63,1820072.089
-118.1782903,34.05571086,63011,LA County,LA County Library - City Terrace Library,4025 City Terrace Dr,Los Angeles,CA,70498,90063,34.05571089,-118.1782902,6507666.328,1842702.553
-117.7160013,34.09592105,63013,LA County,LA County Library - Claremont Library,208 N Harvard Ave,Claremont,CA,70499,91711,34.09592108,-117.7160012,6647651.989,1857409.387
-118.1219034,33.88215382,63017,LA County,LA County Library - Clifton M. Brakensiek Library,9945 E Flower St,Bellflower,CA,70500,90706,33.88215385,-118.1219033,6524669.282,1779515.971
-118.225698,33.89554063,63021,LA County,LA County Library - Compton Library,240 W Compton Blvd,Compton,CA,70501,90220,33.89554066,-118.2256979,6493175.706,1784442.209
-118.1747499,33.95937899,63023,LA County,LA County Library - Cudahy Library,5218 Santa Ana St,Cudahy,CA,70502,90201,33.95937902,-118.1747498,6508677.767,1807643.592
-118.3971496,34.00750387,63026,LA County,LA County Library - Culver City Julian Dixon Library,4975 Overland Ave.,Culver City,CA,70503,90230,34.0075039,-118.3971495,6441304.906,1825348.961
-117.8308346,33.99957679,63028,LA County,LA County Library - Diamond Bar Library,21800 Copley Dr,Diamond Bar,CA,70504,91765,33.99957682,-117.8308345,6612944.846,1822269.504
-118.2656148,33.86774888,63032,LA County,"LA County Library - Dr. Martin Luther King, Jr. Library",17906 S Avalon Blvd,Carson,CA,70505,90746,33.86774891,-118.2656147,6481035.087,1774357.764
-117.9780766,34.13813128,63034,LA County,LA County Library - Duarte Library,1301 Buena Vista St,Duarte,CA,70506,91010,34.13813131,-117.9780765,6568304.404,1872649.726
-118.1599111,34.03401922,63038,LA County,LA County Library - East Los Angeles Library,4837 E 3rd St,Los Angeles,CA,70507,90022,34.03401925,-118.159911,6513220.814,1834799.185
-118.1934924,33.8938811,63043,LA County,LA County Library - East Rancho Dominguez Library,4420 E Rose St,East Rancho Dominguez,CA,70508,90221,33.89388113,-118.1934923,6502948.261,1783817.889
-118.1777692,34.02374513,63046,LA County,LA County Library - El Camino Real Library,4264 E Whittier Blvd,Los Angeles,CA,70509,90023,34.02374516,-118.1777691,6507803.596,1831069.334
-118.0355804,34.06707293,63048,LA County,LA County Library - El Monte Library,3224 Tyler Ave,El Monte,CA,70510,91731,34.06707296,-118.0355803,6550894.534,1846791.444
-118.2450881,33.97453199,63053,LA County,LA County Library - Florence Express Library,7600 Graham Ave,Los Angeles,CA,70511,90001,33.97453202,-118.245088,6487361.316,1813202.62
-118.307569,33.88221399,63056,LA County,LA County Library - Gardena Mayme Dear Library,1731 W Gardena Blvd,Gardena,CA,70512,90247,33.88221402,-118.3075689,6468314.785,1779658.257
-118.1032781,33.84642601,63059,LA County,"LA County Library - George Nye, Jr. Library",6600 Del  Amo Blvd,Lakewood,CA,70513,90713,33.84642604,-118.103278,6530309.207,1766507.414
-118.2383524,33.95994488,63064,LA County,LA County Library - Graham Library,1900 E Firestone Blvd,Los Angeles,CA,70514,90001,33.95994491,-118.2383523,6489390.942,1807889.163
-117.9641117,33.99354898,63066,LA County,LA County Library - Hacienda Heights Library,16010 La  Monde St,Hacienda Heights,CA,70515,91745,33.99354901,-117.9641117,6572548.967,1820034.654
-118.0779937,33.83125912,63068,LA County,LA County Library - Hawaiian Gardens Library,11940 Carson St,Hawaiian Gardens,CA,70516,90716,33.83125915,-118.0779937,6537982.705,1760980.872
-118.3543351,33.91722293,63072,LA County,LA County Library - Hawthorne Library,12700 Grevillea Ave,Hawthorne,CA,70517,90250,33.91722296,-118.354335,6454164.966,1792445.486
-118.3959456,33.86444973,63074,LA County,LA County Library - Hermosa Beach Library,550 Pier Ave,Hermosa Beach,CA,70518,90254,33.86444976,-118.3959455,6441464.736,1773287.332
-118.1685962,33.91771613,63076,LA County,LA County Library - Hollydale Library,12000 S Garfield Ave,South Gate,CA,70519,90280,33.91771616,-118.1685961,6510518.433,1792478.388
-118.2186866,33.98034884,63078,LA County,LA County Library - Huntington Park Library,6518 Miles Ave,Huntington Park,CA,70520,90255,33.98034887,-118.2186865,6495370.663,1815301.023
-118.1942018,34.20276638,63080,LA County,LA County Library - La Canada Flintridge Library,4545 N Oakwood Ave,La Canada Flintridge,CA,70521,91011,34.20276641,-118.1942017,6502950.142,1896227.611
-118.2400811,34.22430836,63083,LA County,LA County Library - La Crescenta Library,2809 Foothill Blvd,La Crescenta,CA,70522,91214,34.22430839,-118.240081,6489096.504,1904097.071
