GEO_ID,NAME,B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E
Geography,Geographic Area Name,Total Population,"U.S. citizen, born in the United States","U.S. citizen, born in Puerto Rico or U.S. Island Areas","U.S. citizen, born abroad of American parent(s)",U.S. citizen by naturalization,Not a U.S. citizen
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",3879,2377,5,54,1060,383
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",4247,2411,0,89,1469,278
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3583,2012,0,36,1060,475
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",3723,1680,0,0,1114,929
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",2690,1101,0,101,1070,418
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",4068,2330,0,50,1305,383
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",3372,2305,0,92,826,149
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1767,992,0,33,559,183
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",4003,2453,4,11,1351,184
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1674,1072,0,34,480,88
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",3920,2614,0,43,832,431
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2481,1605,0,0,782,94
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4692,2360,0,6,1843,483
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",4179,2808,5,43,833,490
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",2082,1752,0,10,248,72
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3842,3080,0,34,573,155
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",2643,1624,14,64,830,111
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",3902,2625,0,44,1142,91
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",4204,2550,0,143,634,877
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",5789,3201,5,44,1216,1323
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",5138,2955,20,45,988,1130
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",3889,2698,0,34,852,305
