OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
1,101110,4731,1324,2656,74,14,486,4,30,143,3800,930,2268,59,13,396,4,22,108,1734,1641,93,Tract: 1011.10\nTotal Population: 4731,navigatela/reports/census_tracts_2010.cfm?PK=101110
2,101122,3664,575,2437,26,4,495,1,10,116,3018,413,2066,19,4,426,1,8,81,1369,1325,44,Tract: 1011.22\nTotal Population: 3664,navigatela/reports/census_tracts_2010.cfm?PK=101122
3,101210,5990,2219,2890,183,6,448,3,5,236,4614,1479,2404,137,5,390,2,3,194,2317,2150,167,Tract: 1012.10\nTotal Population: 5990,navigatela/reports/census_tracts_2010.cfm?PK=101210
4,101220,3363,1272,1662,36,11,272,2,3,105,2607,861,1414,22,11,219,2,2,76,1317,1246,71,Tract: 1012.20\nTotal Population: 3363,navigatela/reports/census_tracts_2010.cfm?PK=101220
5,101300,4199,503,3190,41,5,317,3,7,133,3495,371,2714,31,5,272,2,6,94,1582,1542,40,Tract: 1013.00\nTotal Population: 4199,navigatela/reports/census_tracts_2010.cfm?PK=101300
6,101400,3903,721,2649,45,7,337,0,7,137,3221,520,2276,38,7,283,0,7,90,1568,1498,70,Tract: 1014.00\nTotal Population: 3903,navigatela/reports/census_tracts_2010.cfm?PK=101400
7,102103,1740,375,1114,21,3,167,2,0,58,1471,298,968,18,3,140,2,0,42,680,630,50,Tract: 1021.03\nTotal Population: 1740,navigatela/reports/census_tracts_2010.cfm?PK=102103
8,102104,3648,533,2437,86,3,470,3,7,109,3092,442,2081,73,3,406,3,4,80,1326,1279,47,Tract: 1021.04\nTotal Population: 3648,navigatela/reports/census_tracts_2010.cfm?PK=102104
9,102105,1731,1136,413,15,2,139,0,3,23,1338,829,365,11,2,116,0,2,13,560,527,33,Tract: 1021.05\nTotal Population: 1731,navigatela/reports/census_tracts_2010.cfm?PK=102105
10,102107,3851,1039,2310,102,15,278,13,9,85,3137,729,2016,79,14,231,7,6,55,1326,1269,57,Tract: 1021.07\nTotal Population: 3851,navigatela/reports/census_tracts_2010.cfm?PK=102107
